brand,model,year,mileage,fuelType,transmission,condition,location,price
Toyota,Camry,2015,128665,Petrol,Manual,very_used,Cairo,1138720.69
Hyundai,Accent RB,2015,146587,Diesel,Automatic,used,Cairo,429399.38
Kia,Sportage,2001,300000,Petrol,Automatic,very_used,Cairo,340128.62
Kia,Cerato,1996,300000,Petrol,Manual,used,Cairo,168001.81
Kia,Sportage,2021,41505,Petrol,Automatic,used,Giza,1765519.26
Kia,Sportage,2017,154067,Petrol,Automatic,very_used,Aswan,927516.6
Nissan,Sunny,2010,300000,Petrol,Automatic,very_used,Sharqia,183812.73
MG,MG 5,2017,110606,Petrol,Manual,used,Dakahlia,566911.62
Nissan,Qashqai,1999,300000,Petrol,Automatic,used,Dakahlia,274120.3
Honda,CR-V,2009,294826,Petrol,Automatic,very_used,Suez,711732.58
Honda,Civic,2016,200186,Petrol,Automatic,used,Giza,864200.01
Hyundai,Tucson,2022,46655,Petrol,Automatic,used,Giza,1607548.22
MG,ZS,2021,59871,Diesel,Automatic,used,Giza,1089937.19
Honda,Accord,2009,283964,Petrol,Automatic,very_used,Monufia,577045.63
BMW,X1,2011,277638,Petrol,Automatic,used,Giza,1319195.89
Toyota,Fortuner,2012,300000,Hybrid,Manual,used,Gharbia,1114918.11
MG,MG 5,2017,78329,Petrol,Automatic,very_used,Alexandria,521975.15
Nissan,Sunny,2025,7665,Petrol,Automatic,used,Cairo,798713.62
Kia,Rio,2001,300000,Petrol,Automatic,very_used,Giza,141372.19
Chevrolet,Aveo,2014,178968,Diesel,Manual,used,Alexandria,261234.85
Mercedes,GLC 200,1996,300000,Petrol,Automatic,very_used,Cairo,825104.47
MG,MG 5,2015,162576,Petrol,Automatic,used,Sharqia,476938.4
Chevrolet,Aveo,2013,82558,Petrol,Automatic,used,Cairo,302113.64
Toyota,Corolla,2012,268073,Petrol,Automatic,used,Monufia,480961.88
MG,RX5,2007,226855,Petrol,Automatic,very_used,Alexandria,434872.96
Nissan,Qashqai,2001,288569,Petrol,Manual,very_used,Qalyubia,265389.37
Kia,Cerato,2009,279533,Petrol,Automatic,used,Cairo,337811.73
MG,RX5,2006,300000,Petrol,Automatic,used,Cairo,421291.7
Toyota,Yaris,2017,164878,Petrol,Automatic,used,Cairo,686921.59
Kia,Sportage,2001,300000,Petrol,Manual,very_used,Ismailia,295261.58
Audi,A4,2004,177297,Petrol,Automatic,very_used,Alexandria,973822.55
BMW,320i,2010,231441,Petrol,Automatic,very_used,Giza,966746.87
Skoda,Kamiq,2012,226369,Petrol,Automatic,used,Cairo,726420.35
Hyundai,Tucson,2012,269358,Diesel,Automatic,used,Cairo,691851.59
Hyundai,Tucson,2013,207978,Petrol,Automatic,used,Cairo,782105.27
Nissan,X-Trail,2007,277234,Petrol,Automatic,very_used,Alexandria,511742.63
Mercedes,E200,2022,51540,Petrol,Manual,new,Dakahlia,5833119.28
BMW,520i,2020,59303,Petrol,Automatic,used,Monufia,3682475.1
Hyundai,Accent RB,2009,242678,Petrol,Automatic,very_used,Assiut,206643.43
Toyota,Fortuner,2020,55894,Petrol,Automatic,very_used,Alexandria,2152054.66
Kia,Sportage,2012,176965,Diesel,Automatic,used,Monufia,812014.28
Hyundai,Tucson,2017,107977,Petrol,Automatic,used,Giza,1167839.27
Toyota,Camry,2005,300000,Petrol,Automatic,used,Gharbia,603052.26
Mercedes,E200,2020,71684,Petrol,Automatic,used,Aswan,4826360.27
BMW,X1,2018,140131,Petrol,Automatic,very_used,Cairo,1883823.14
MG,RX5,2015,147327,Petrol,Automatic,used,Assiut,828547.43
Toyota,Corolla,2009,224832,Diesel,Automatic,very_used,Assiut,376271.32
Skoda,Kamiq,2019,115805,Diesel,Automatic,very_used,Giza,1026710.2
Kia,Cerato,2011,257600,Petrol,Automatic,used,Suez,399968.72
BMW,520i,2007,300000,Petrol,Automatic,very_used,Cairo,1041032.74
Toyota,Corolla,2002,300000,Diesel,Automatic,very_used,Cairo,235690.76
Hyundai,Tucson,2022,55137,Petrol,Automatic,very_used,Giza,1406147.26
Hyundai,Accent RB,2006,300000,Petrol,Manual,used,Sharqia,173052.34
Skoda,Kodiaq,2004,239637,Petrol,Automatic,very_used,Giza,554244.32
Kia,Cerato,2002,296314,Petrol,Manual,very_used,Giza,196674.45
Hyundai,Accent RB,2019,95047,Petrol,Automatic,used,Alexandria,519857.87
Nissan,Sunny,2017,105466,Petrol,Automatic,very_used,Sharqia,375147.89
Toyota,Yaris,2005,300000,Petrol,Automatic,used,Cairo,288106.1
Toyota,Yaris,2007,300000,Diesel,Automatic,very_used,Cairo,257864.78
Hyundai,Accent RB,2009,237215,Petrol,Automatic,used,Giza,256967.1
Chevrolet,Optra,2019,70393,Petrol,Automatic,used,Giza,473498.33
Honda,CR-V,2010,262763,Petrol,Automatic,used,Cairo,988370.49
Skoda,Kodiaq,2014,151651,Hybrid,Automatic,very_used,Ismailia,1185221.79
Hyundai,Accent RB,1998,264679,Petrol,Automatic,very_used,Qalyubia,106459.95
Toyota,Corolla,2019,55403,Diesel,Automatic,used,Giza,972731.38
Hyundai,Tucson,2011,205256,Petrol,Manual,used,Suez,691905.5
MG,RX5,2017,124857,Diesel,Manual,very_used,Cairo,863720.5
Chevrolet,Captiva,2009,208790,Petrol,Automatic,used,Gharbia,523942.77
Kia,Cerato,2020,63261,Petrol,Automatic,new,Cairo,983716.38
Chevrolet,Aveo,2012,119116,Petrol,Manual,used,Giza,279307.45
Nissan,Sunny,2017,152014,Petrol,Automatic,used,Sharqia,426618.15
Audi,A4,2007,300000,Petrol,Automatic,very_used,Gharbia,813902.04
Honda,Accord,2009,268265,Petrol,Automatic,very_used,Giza,606131.35
Toyota,Fortuner,2019,128995,Diesel,Automatic,used,Cairo,2366051.35
Honda,Accord,2016,157393,Diesel,Automatic,very_used,Giza,1185202.57
Hyundai,Accent RB,2019,59084,Petrol,Automatic,used,Alexandria,551044.1
Chevrolet,Aveo,2021,92256,Petrol,Automatic,used,Gharbia,466306.62
Nissan,X-Trail,2023,25067,Petrol,Automatic,new,Giza,2405760.58
Honda,CR-V,2019,80948,Diesel,Automatic,used,Giza,2141923.88
Nissan,X-Trail,1999,293134,Petrol,Automatic,used,Giza,402049.99
BMW,X3,2012,254306,Petrol,Automatic,very_used,Sharqia,1744759.27
Toyota,Yaris,2019,131014,Petrol,Automatic,very_used,Alexandria,655776.07
Hyundai,Tucson,2014,172660,Petrol,Automatic,very_used,Giza,760588.19
Toyota,Camry,2021,53487,Petrol,Automatic,used,Cairo,2016217.02
Skoda,Kodiaq,2002,300000,Petrol,Automatic,very_used,Monufia,434958.64
Hyundai,Accent RB,2013,225994,Petrol,Automatic,used,Cairo,308586.33
MG,RX5,2010,280944,Petrol,Automatic,used,Cairo,544651.75
MG,MG 5,2015,216017,Petrol,Automatic,very_used,Cairo,382206.58
Nissan,Sunny,2017,93777,Petrol,Manual,used,Giza,463093.11
Toyota,Fortuner,2015,156977,Petrol,Automatic,very_used,Giza,1451807.55
Hyundai,Accent RB,2018,139971,Petrol,Automatic,very_used,Giza,414568.24
Kia,Sportage,2007,201430,Petrol,Automatic,very_used,Cairo,544909.58
Toyota,Corolla,2022,45872,Petrol,Automatic,used,Sharqia,1101220.27
MG,RX5,2018,119104,Petrol,Automatic,used,Cairo,1092701.73
Skoda,Kamiq,2024,10420,Petrol,Automatic,used,Cairo,1836898.12
MG,MG 5,2013,258957,Diesel,Automatic,used,Cairo,379648.71
Hyundai,Elantra AD,2014,192350,Petrol,Automatic,used,Cairo,485137.45
MG,RX5,2008,277526,Petrol,Manual,used,Dakahlia,447750.08
Mercedes,E200,2001,300000,Petrol,Manual,very_used,Giza,985036.05
Mercedes,E200,2021,67693,Hybrid,Automatic,used,Cairo,5693092.56
Nissan,X-Trail,2016,97528,Petrol,Automatic,used,Cairo,1277130.0
Kia,Sportage,1999,262483,Petrol,Automatic,very_used,Sharqia,297442.36
Hyundai,Accent RB,2016,81888,Petrol,Automatic,used,Cairo,486118.62
MG,ZS,2021,73609,Hybrid,Manual,used,Assiut,1102697.54
Skoda,Octavia,2015,154309,Petrol,Automatic,used,Alexandria,787523.41
Chevrolet,Aveo,2018,85471,Petrol,Manual,very_used,Sharqia,313921.65
Toyota,Corolla,2008,254628,Petrol,Manual,very_used,Giza,334346.05
Honda,Accord,2021,54593,Hybrid,Automatic,used,Dakahlia,2106279.81
Mercedes,E200,2013,209314,Petrol,Automatic,very_used,Qalyubia,2212549.69
Skoda,Octavia,2004,300000,Petrol,Manual,very_used,Cairo,285309.14
Toyota,Yaris,2013,234625,Petrol,Manual,very_used,Giza,389973.51
Audi,A4,2008,300000,Petrol,Automatic,very_used,Alexandria,852191.32
Hyundai,Elantra AD,2011,182169,Petrol,Automatic,used,Alexandria,439968.06
Honda,CR-V,2016,162849,Petrol,Automatic,very_used,Cairo,1304419.26
Skoda,Kodiaq,1998,300000,Petrol,Automatic,very_used,Giza,346739.15
Mercedes,GLC 200,2009,262504,Petrol,Automatic,very_used,Assiut,1675951.03
Hyundai,Accent RB,2020,66025,Hybrid,Automatic,used,Assiut,589049.86
Honda,Civic,2012,248975,Petrol,Automatic,used,Giza,608899.58
Nissan,Sunny,2013,134144,Petrol,Manual,very_used,Giza,276916.26
Hyundai,Tucson,2008,300000,Diesel,Automatic,very_used,Sharqia,453694.16
Kia,Cerato,2006,300000,Petrol,Automatic,used,Ismailia,270410.72
BMW,X3,2008,274115,Petrol,Automatic,used,Giza,1567707.26
Mercedes,C180,1999,300000,Hybrid,Automatic,very_used,Alexandria,606315.62
Chevrolet,Optra,2020,97133,Diesel,Automatic,used,Ismailia,464397.8
Skoda,Kodiaq,2019,57430,Petrol,Automatic,used,Alexandria,1986371.75
Audi,Q3,2012,254518,Petrol,Automatic,used,Monufia,1534795.66
MG,MG 5,2013,227847,Petrol,Manual,very_used,Cairo,316500.76
Hyundai,Tucson,2019,132112,Petrol,Automatic,very_used,Cairo,1056802.27
Toyota,Camry,2019,127302,Hybrid,Manual,very_used,Sharqia,1389299.15
Hyundai,Elantra AD,2002,300000,Petrol,Manual,very_used,Monufia,165773.9
Kia,Rio,2016,165414,Petrol,Manual,very_used,Giza,406455.97
Hyundai,Accent RB,2003,300000,Diesel,Manual,used,Giza,158312.93
Toyota,Fortuner,2021,74496,Petrol,Manual,used,Giza,2633080.08
Audi,Q3,2018,117963,Petrol,Automatic,very_used,Cairo,2277622.23
Kia,Rio,2009,259413,Petrol,Automatic,used,Giza,282546.25
Chevrolet,Optra,2016,183515,Diesel,Automatic,used,Giza,355845.79
Skoda,Kamiq,2013,268292,Petrol,Automatic,very_used,Sharqia,573851.78
Nissan,X-Trail,2018,86350,Petrol,Automatic,used,Monufia,1470756.6
Kia,Sportage,2007,243919,Petrol,Manual,very_used,Gharbia,451863.21
Honda,Civic,2018,96166,Petrol,Manual,very_used,Cairo,859114.15
Nissan,X-Trail,2022,58214,Petrol,Automatic,used,Alexandria,1879175.49
Hyundai,Tucson,2024,4076,Petrol,Manual,new,Cairo,2022643.17
Chevrolet,Aveo,2014,174460,Petrol,Automatic,used,Cairo,297174.04
Toyota,Corolla,2015,115378,Petrol,Automatic,used,Giza,740327.69
MG,MG 5,2011,266615,Petrol,Manual,very_used,Cairo,274413.87
Mercedes,GLC 200,2020,72447,Petrol,Automatic,used,Alexandria,5110658.33
Chevrolet,Aveo,2014,203007,Petrol,Automatic,used,Giza,277032.87
Nissan,X-Trail,2009,300000,Petrol,Automatic,used,Cairo,628309.79
Kia,Rio,2005,202276,Petrol,Automatic,very_used,Cairo,209618.87
BMW,320i,2018,196816,Petrol,Automatic,very_used,Sharqia,1503529.56
BMW,320i,2016,120335,Petrol,Automatic,very_used,Alexandria,1628507.76
Chevrolet,Captiva,2019,57886,Petrol,Manual,very_used,Dakahlia,940058.53
Kia,Rio,2015,276378,Petrol,Automatic,used,Suez,352422.39
Toyota,Fortuner,2003,300000,Petrol,Automatic,very_used,Sharqia,601055.9
Nissan,X-Trail,2016,144923,Diesel,Automatic,very_used,Giza,1079666.55
Skoda,Kamiq,2007,300000,Petrol,Manual,used,Alexandria,447411.35
Nissan,Sunny,2018,117518,Petrol,Automatic,very_used,Cairo,391657.69
Hyundai,Accent RB,2017,129679,Petrol,Automatic,very_used,Alexandria,382501.93
Kia,Rio,2013,83927,Petrol,Automatic,used,Cairo,459438.41
Kia,Rio,2014,238883,Petrol,Automatic,used,Gharbia,379133.43
Toyota,Fortuner,2016,125349,Petrol,Automatic,very_used,Alexandria,1597692.38
Toyota,Yaris,2014,167023,Hybrid,Automatic,used,Cairo,638631.41
Skoda,Kodiaq,2015,185087,Petrol,Manual,used,Cairo,1304075.61
Toyota,Corolla,2015,137621,Petrol,Automatic,very_used,Ismailia,557206.59
MG,MG 5,2021,55731,Petrol,Automatic,used,Cairo,825667.17
Hyundai,Elantra AD,2011,231714,Petrol,Automatic,used,Cairo,400103.13
Kia,Rio,2023,38279,Petrol,Automatic,new,Dakahlia,944042.8
Honda,Accord,1999,300000,Petrol,Automatic,very_used,Sharqia,349140.43
Hyundai,Accent RB,2012,214115,Petrol,Automatic,used,Alexandria,309203.42
Chevrolet,Captiva,2016,167607,Petrol,Automatic,used,Qalyubia,760331.23
Toyota,Yaris,1997,300000,Petrol,Automatic,used,Gharbia,182607.3
Nissan,X-Trail,2010,190106,Petrol,Automatic,very_used,Giza,713761.18
Kia,Cerato,2018,103323,Petrol,Manual,very_used,Giza,636326.16
Chevrolet,Captiva,2019,68829,Petrol,Automatic,used,Ismailia,1123947.64
Skoda,Kamiq,2008,300000,Petrol,Automatic,used,Cairo,477826.12
Mercedes,E200,2021,71550,Petrol,Automatic,used,Qalyubia,4857708.99
Nissan,Qashqai,2018,132848,Petrol,Automatic,very_used,Gharbia,874537.98
MG,MG 5,2012,234143,Petrol,Automatic,used,Alexandria,348249.63
Toyota,Fortuner,2020,85919,Petrol,Automatic,used,Monufia,2316704.31
Hyundai,Tucson,2016,129299,Petrol,Automatic,very_used,Giza,927558.15
Chevrolet,Captiva,2011,222977,Petrol,Automatic,used,Sharqia,541403.87
Nissan,Sunny,2014,148362,Diesel,Automatic,very_used,Cairo,326827.65
BMW,520i,2012,244203,Petrol,Automatic,very_used,Sharqia,1532622.93
MG,MG 5,2006,300000,Petrol,Manual,used,Monufia,215181.1
Hyundai,Elantra AD,2024,9341,Petrol,Automatic,used,Giza,1090111.32
Toyota,Camry,2019,99700,Diesel,Manual,used,Alexandria,1695037.55
Honda,CR-V,2013,198322,Petrol,Automatic,used,Qalyubia,1194610.17
Chevrolet,Aveo,2019,72498,Petrol,Manual,used,Sharqia,420100.31
Mercedes,E200,2020,95390,Petrol,Automatic,used,Dakahlia,4783559.36
Audi,A4,2002,300000,Petrol,Automatic,very_used,Cairo,691020.25
MG,MG 5,2001,300000,Petrol,Automatic,used,Cairo,176419.51
Audi,A3,2011,155160,Petrol,Automatic,very_used,Giza,1095454.66
Mercedes,E200,2018,107832,Petrol,Automatic,used,Dakahlia,4174658.53
Skoda,Octavia,2002,300000,Petrol,Manual,very_used,Cairo,254312.1
BMW,520i,2020,71288,Petrol,Automatic,used,Alexandria,3714691.24
MG,RX5,2017,152082,Hybrid,Automatic,used,Cairo,1086754.99
Chevrolet,Optra,2008,300000,Petrol,Automatic,very_used,Dakahlia,145057.64
Kia,Sportage,2019,99645,Petrol,Manual,used,Cairo,1312391.51
Chevrolet,Optra,2011,228314,Petrol,Manual,very_used,Suez,200016.57
Kia,Cerato,2013,224444,Petrol,Manual,used,Cairo,458991.71
Hyundai,Accent RB,2021,90235,Petrol,Manual,used,Cairo,566871.38
Honda,Civic,2015,163829,Petrol,Automatic,used,Alexandria,812124.71
BMW,520i,2022,40282,Petrol,Automatic,used,Alexandria,4543222.48
Mercedes,E200,2007,249191,Petrol,Automatic,used,Aswan,1727854.37
Nissan,X-Trail,2023,46845,Petrol,Automatic,new,Alexandria,2265620.22
Kia,Cerato,2008,300000,Petrol,Automatic,new,Cairo,353713.13
Mercedes,C180,2016,163535,Petrol,Automatic,very_used,Cairo,1829703.34
MG,RX5,2013,162661,Petrol,Manual,very_used,Cairo,656736.18
Toyota,Yaris,2009,299838,Petrol,Automatic,very_used,Cairo,292132.13
Toyota,Camry,2014,160583,Petrol,Automatic,very_used,Gharbia,1052301.5
Audi,Q3,2016,145123,Petrol,Automatic,very_used,Cairo,2051277.12
Nissan,Sunny,2021,53891,Petrol,Automatic,used,Monufia,595325.87
Honda,Civic,2003,300000,Petrol,Manual,very_used,Cairo,291388.91
Chevrolet,Aveo,2010,300000,Petrol,Automatic,used,Assiut,164817.91
Chevrolet,Aveo,2016,45501,Petrol,Automatic,very_used,Cairo,309299.93
Chevrolet,Optra,2021,90381,Petrol,Automatic,very_used,Cairo,429062.05
Toyota,Camry,2012,80980,Petrol,Automatic,used,Cairo,1321097.34
Hyundai,Tucson,2019,86878,Petrol,Automatic,used,Alexandria,1255122.4
Toyota,Camry,2016,145023,Diesel,Automatic,very_used,Assiut,1149646.23
Nissan,X-Trail,2008,300000,Petrol,Automatic,very_used,Giza,515185.59
Toyota,Fortuner,2007,300000,Petrol,Manual,very_used,Giza,703734.24
Kia,Sportage,2018,135067,Hybrid,Automatic,very_used,Monufia,1152049.21
Kia,Cerato,2016,183156,Petrol,Manual,very_used,Gharbia,482670.25
Honda,CR-V,2013,252946,Diesel,Automatic,very_used,Assiut,930890.85
BMW,320i,2003,300000,Diesel,Manual,very_used,Gharbia,571404.53
Nissan,Qashqai,2017,172406,Petrol,Manual,very_used,Dakahlia,746535.97
Nissan,Sunny,2006,292676,Petrol,Manual,used,Giza,178395.04
Toyota,Yaris,2015,161934,Hybrid,Automatic,very_used,Cairo,520653.13
Nissan,Sunny,2018,181605,Petrol,Automatic,used,Cairo,450006.79
Mercedes,C180,2016,112759,Diesel,Automatic,new,Alexandria,2549840.52
Toyota,Fortuner,2007,238899,Petrol,Automatic,used,Luxor,990717.57
Toyota,Corolla,2016,143299,Petrol,Manual,very_used,Luxor,582732.98
Nissan,X-Trail,2023,20621,Hybrid,Automatic,new,Alexandria,2603864.53
Honda,CR-V,2006,300000,Petrol,Automatic,used,Cairo,702351.75
BMW,520i,2015,130297,Petrol,Automatic,used,Cairo,2810367.6
Chevrolet,Optra,2021,81197,Petrol,Manual,used,Cairo,491004.73
Kia,Rio,2017,174714,Petrol,Automatic,used,Cairo,491587.13
Kia,Rio,2019,120928,Petrol,Automatic,very_used,Cairo,519121.02
Hyundai,Elantra AD,2013,300000,Petrol,Manual,used,Suez,357581.39
Kia,Rio,2021,48299,Petrol,Manual,used,Giza,745508.71
MG,MG 5,2013,140383,Petrol,Automatic,used,Gharbia,424428.75
Honda,Civic,2001,281320,Petrol,Automatic,used,Cairo,321841.81
Chevrolet,Captiva,2022,62487,Petrol,Automatic,used,Sharqia,1315770.05
Hyundai,Tucson,2010,273407,Petrol,Manual,used,Cairo,600431.6
Nissan,Qashqai,2012,186558,Petrol,Automatic,very_used,Giza,594137.83
Skoda,Kamiq,2014,119062,Diesel,Automatic,used,Aswan,918363.8
BMW,X3,2002,300000,Petrol,Automatic,very_used,Alexandria,933022.36
Honda,Accord,2018,136052,Petrol,Manual,used,Sharqia,1500476.11
Hyundai,Elantra AD,2020,102045,Petrol,Automatic,very_used,Cairo,633343.48
Honda,Accord,2011,222755,Petrol,Automatic,used,Qalyubia,868935.64
Audi,A4,2014,165126,Petrol,Automatic,used,Cairo,1847397.25
BMW,320i,2014,152700,Petrol,Automatic,very_used,Cairo,1360172.35
Hyundai,Elantra AD,2016,181934,Petrol,Automatic,used,Giza,581674.76
BMW,X3,2006,300000,Petrol,Automatic,used,Suez,1319229.39
MG,RX5,2021,83233,Petrol,Automatic,very_used,Giza,1085555.44
Toyota,Camry,2023,24828,Hybrid,Manual,new,Dakahlia,2761541.75
